;Zawody;Miejsce_pracy;Zajecie;;;
;Ta osoba jest muzykiem;Pracuje w banku;W wolnym czasie lubi słuchać radia;;;
;Ta osoba jest bokserem;Pracuje w swoim zawodzie;W wolnym czasie maluje grafitti na murach;;;
;Ta osoba jest lekarzem;Pracuje przez internet;W wolnym czasie czyta książki o płaskiej ziemi;;;
;Ta osoba jest naukowcem;Pracuje 12 godzin na dobę;W wolnym czasie pisze wiersze;;;
;Ta osoba jest ogrodnikiem;Pracuje w szpitalu;W wolnym czasie czyta fachową literaturę medyczną;;;
;Ta osoba jest tynkarzem;Pracuje na budowie;W wolnym czasie gra na giełdzie ;;;
;Ta osoba jest leśnikiem;Pracuje w operze;W wolnym czasie gra na wiolonczeli ;;;
;Ta osoba jest elektrykiem;Pracuje w szkole;W wolnym czasie uprawia paintball;;;
;Ta osoba jest emerytem;Pracuje w wydawnictwie ;W wolnym czasie haftuje serwetki i obrusy ;;;
;Ta osoba jest finansistą;Pracuje w obserwatorium astronomicznym;W wolnym czasie zajmuje się modelarstwem;;;
;Ta osoba jest pacyfistą /lubię to, choć nie wiem czy pasuje/;Pracuje w sklepie monopolowym;W wolnym czasie uprawia wspinaczkę skałkową;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;